id,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2
106,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
107,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
108,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
109,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055
110,24.705069,15.832259,74.846085,62.892975,22.433071,4.9787264
111,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
112,19.416666,13.036125,61.853416,57.382812,17.637789,0.5135218
113,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
114,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
115,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
116,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
117,245.60846,44.006573,157.85709,117.496284,157.33507,1.326487
118,245.60846,44.006573,157.85709,117.496284,157.33507,1.326487
119,23.154982,16.033936,66.136185,63.271893,21.058014,1.6114383
120,135.42247,31.367443,98.42799,93.0453,90.95229,0.3106772
121,35.30245,11.568643,60.334328,52.988697,31.84846,0.29622757
122,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
123,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
124,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922
125,246.78453,56.312714,151.71045,138.38052,148.8394,0.7157952
126,605.872,103.235435,499.75162,182.83142,499.27554,3.5344
127,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
128,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075
129,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
130,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
131,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038
132,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038
133,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038
134,24.353693,16.797165,68.61822,64.73077,22.15648,2.5677993
135,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
136,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
137,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
138,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
139,39.43007,16.247423,64.3123,63.659416,35.894962,0.4755678
140,23.082174,15.192268,63.719368,61.649765,20.966974,0.2028446
141,20.011168,12.808721,59.75663,56.90039,18.160433,0.37179714
142,20.011168,12.808721,59.75663,56.90039,18.160433,0.37179714
143,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
144,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
145,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
146,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
147,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
148,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
149,21.777964,15.548711,73.005104,62.348927,19.803314,5.4383
150,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
151,492.0676,96.41198,384.55725,177.38788,384.3853,1.9565153
152,21.569117,13.918986,70.35265,59.204643,19.626722,3.3178039
153,24.535568,14.429897,76.37451,60.094715,22.3058,2.793852
154,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912
155,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912
156,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912
157,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
158,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
159,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994
160,24.353693,16.797165,68.61822,64.73077,22.15648,2.5677993
161,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922
162,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922
163,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
164,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
165,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
166,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
167,59.211937,18.540249,68.52713,68.01538,48.329365,0.06911695
168,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
169,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
170,41.863228,13.977878,69.48713,57.859932,34.968143,0.1894105
171,33.173153,13.297551,69.32555,56.773922,28.788939,0.5263001
172,69.57865,23.198238,82.72896,76.86293,55.36296,4.492263
173,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
174,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
175,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
176,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
177,24.107218,14.658548,72.81264,60.678448,21.947304,4.001569
178,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894
179,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894
180,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894
181,316.95908,65.302055,209.68924,147.28464,209.00455,0.95147413
182,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
183,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
184,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
185,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
186,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
187,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
188,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
189,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
190,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
191,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
192,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
193,672.43866,119.371956,567.5673,198.73106,567.4029,2.4747338
194,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187
195,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
196,605.872,103.235435,499.75162,182.83142,499.27554,3.5344
197,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
198,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
199,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
200,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
201,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
202,272.8743,58.022552,170.16608,139.43076,169.02698,0.76893926
203,247.03673,56.871864,152.15875,141.0796,148.57976,1.6929317
204,318.87134,67.604164,208.32689,151.16095,207.45984,1.6301191
205,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
206,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
207,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
208,399.49194,76.06928,294.29855,156.98792,293.42804,2.1944366
209,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994
210,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
211,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187
212,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055
213,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187
214,564.2742,88.29476,453.37756,171.02182,453.24738,3.8837934
215,605.872,103.235435,499.75162,182.83142,499.27554,3.5344
216,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055
217,605.872,103.235435,499.75162,182.83142,499.27554,3.5344
218,564.2742,88.29476,453.37756,171.02182,453.24738,3.8837934
219,564.2742,88.29476,453.37756,171.02182,453.24738,3.8837934
220,95.14635,24.495146,81.888664,80.17981,68.77279,0.24261807
221,410.3528,64.37272,304.96805,145.63495,304.76016,0.12577295
222,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
223,22.375902,15.605111,69.892555,62.476604,20.355383,3.6364994
224,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
225,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
226,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
227,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
228,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
229,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
230,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
231,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
232,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
233,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
234,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
235,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
236,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
237,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
238,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
239,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
240,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075
241,76.24081,17.464132,68.388985,65.98199,59.718052,0.10567468
242,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164
243,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264
244,272.8743,58.022552,170.16608,139.43076,169.02698,0.76893926
245,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
246,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867
247,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
248,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
249,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
250,574.7902,95.981705,466.96423,176.80243,466.42886,4.1247187
251,245.60846,44.006573,157.85709,117.496284,157.33507,1.326487
252,490.46683,71.756615,378.49576,155.72229,378.49298,0.18302135
253,225.84375,43.38475,141.97768,117.7082,140.59615,1.7731133
254,38.12371,12.12397,59.504482,54.84827,34.385704,0.19742864
255,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
256,185.75154,38.601547,121.19338,105.43391,119.05326,0.10169733
257,24.353693,16.797165,68.61822,64.73077,22.15648,2.5677993
258,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
259,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824
260,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
261,22.61675,15.487802,68.67012,62.245663,20.565996,3.271451
262,32.402275,14.567225,68.79846,60.376423,29.426445,2.588575
263,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
264,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
265,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
266,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
267,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894
268,21.19575,14.801632,70.71474,60.92791,19.274046,3.7786894
269,65.337585,15.60945,64.603615,62.437572,54.15065,0.36214998
270,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
271,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164
272,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
273,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164
274,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075
275,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164
276,22.559622,16.384321,74.33504,63.918507,20.507992,6.421085
277,215.55627,50.073536,136.33229,131.56667,131.12637,1.6597164
278,57.260914,17.414734,71.93506,65.199715,45.18782,0.45261344
279,29.090635,17.111254,73.18245,65.2781,26.184973,5.1803226
280,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
281,53.054554,17.593857,66.67092,66.17153,46.986423,1.8623072
282,26.852577,18.071907,72.80477,67.15687,24.439875,2.4654038
283,57.492443,18.017738,75.10589,66.86006,46.013687,0.8067029
284,63.622852,16.476805,68.98687,64.16175,52.60674,0.26775151
285,24.31671,17.38939,71.738106,65.819786,22.10292,3.6675777
286,21.672337,15.647251,66.7912,62.518993,19.695974,3.8369954
287,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
288,20.57672,13.992011,65.7748,59.316036,18.707682,1.0893906
289,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
290,97.85958,22.6753,87.67268,75.88198,71.214165,5.34003
291,42.01134,13.9888315,69.0819,57.764885,35.395466,0.3989404
292,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037
293,49.947556,15.430929,62.2938,62.03347,43.444775,0.15661855
294,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
295,34.997982,11.255928,59.28452,52.10097,31.472868,0.20125791
296,22.966452,16.169586,74.23609,63.509605,20.858717,6.2326055
297,813.04114,136.4835,709.2165,215.0234,709.173,2.9558232
298,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
299,125.471085,31.816366,95.56521,95.169754,85.13072,0.12545563
300,31.92066,13.05292,63.529545,57.092167,28.994879,2.1796484
301,54.69841,20.782001,78.13099,72.36231,44.380844,3.5449357
302,33.91413,14.231443,60.918518,59.741127,30.84471,0.4415065
303,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
304,47.126244,19.543772,77.11548,69.905594,39.544823,3.8262482
305,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829
306,21.39476,15.518342,68.008934,62.288044,19.450117,4.700968
307,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388
308,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
309,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648
