id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG2601,Suhag,قسم اول سوهاج,suhag-eg2601,26.547,31.693,EG26,Suhag,سوهاج
EG2603,Suhag,مركز سوهاج,suhag-eg2603,26.547,31.655,EG26,Suhag,سوهاج
EG2602,Suhag-2,قسم ثان سوهاج,suhag-2-eg2602,26.543,31.703,EG26,Suhag,سوهاج
EG2619,Suhag City,مدينة سوهاج الجديدة,suhag-city-eg2619,26.485,31.649,EG26,Suhag,سوهاج
EG2208,Sumusta,مركز سمسطا,sumusta-eg2208,28.951,30.866,EG22,Beni Suef,بنى سويف
EG3508,Taba,قسم طابا,taba-eg3508,29.501,34.84,EG35,South Sinai,جنوب سيناء
EG2614,Tahta,مركز طهطا,tahta-eg2614,26.785,31.42,EG26,Suhag,سوهاج
EG1905,"Tal al-Kabir, al-",مركز التل الكبير,tal-al-kabir-al-eg1905,30.418,31.933,EG19,Ismailia,الإسماعيلية
EG1707,Tala,مركز تلا,tala-eg1707,30.67,30.946,EG17,Menoufia,المنوفية
EG1211,Talkha,مركز طلخا,talkha-eg1211,31.109,31.383,EG12,Dakahlia,الدقهلية
EG2613,Tama,مركز طما,tama-eg2613,26.874,31.422,EG26,Suhag,سوهاج
EG1216,Tamy Al-Amdid,مركز تمى الأمديد,tamy-al-amdid-eg1216,30.947,31.594,EG12,Dakahlia,الدقهلية
EG2306,Tamya,مركز طامية,tamya-eg2306,29.467,30.982,EG23,Fayoum,الفيوم
EG1603,Tanta,مركز طنطا,tanta-eg1603,30.809,30.932,EG16,Gharbia,الغربية
EG1601,Tanta 1,قسم أول طنطا,tanta-1-eg1601,30.795,31.014,EG16,Gharbia,الغربية
EG1602,Tanta 2,قسم ثان طنطا,tanta-2-eg1602,30.786,30.989,EG16,Gharbia,الغربية
EG2903,Tiba police station,مركز شرطة طيبة,tiba-police-station-eg2903,25.738,32.703,EG29,Luxor,مدينة الأقصر
EG1408,Tukh,مركز طوخ,tukh-eg1408,30.344,31.19,EG14,Kalyoubia,القليوبية
EG0105,Tura,قسم طره,tura-eg0105,29.939,31.38,EG01,Cairo,القاهرة
EG2809,Tushaka,مدينة توشكى الجديدة,tushaka-eg2809,22.856,31.661,EG28,Aswan,أسوان
EG2118,Umraniyya,قسم العمرانية,umraniyya-eg2118,29.993,31.177,EG21,Giza,الجيزة
EG1814,Wadi Al-NatrUn,مركز وادى النطرون,wadi-al-natrun-eg1814,30.43,30.313,EG18,Behera,البحيرة
EG2117,Waraq,قسم الوراق,waraq-eg2117,30.097,31.189,EG21,Giza,الجيزة
EG2307,Yousef El sadeq,مركز يوسف الصديق,yousef-el-sadeq-eg2307,29.353,30.586,EG23,Fayoum,الفيوم
EG0133,Zamalik,قسم الزمالك,zamalik-eg0133,30.056,31.223,EG01,Cairo,القاهرة
EG1303,Zaqaziq,مركز الزقازيق,zaqaziq-eg1303,30.587,31.581,EG13,Sharkia,الشرقية
EG1301,Zaqaziq 1,قسم اول الزقازيق,zaqaziq-1-eg1301,30.585,31.513,EG13,Sharkia,الشرقية
