id,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
134,0,2,2,0,0,1
135,90,306,90,8,0,475
136,7,13,3,0,0,20
137,5,22,11,0,0,27
138,2,8,1,1,0,8
139,1,2,0,0,0,4
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,1,0,0,2
144,37,90,40,1,2,162
145,31,75,27,1,2,115
146,0,0,0,0,0,0
147,57,122,72,6,0,199
148,12,35,6,0,1,44
149,0,0,0,0,0,0
150,0,0,0,0,0,2
151,1,0,2,0,1,0
152,0,0,0,0,1,0
153,0,0,0,0,0,0
154,29,84,19,2,1,116
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,46,86,61,6,3,191
159,0,0,0,0,0,0
160,0,5,6,0,0,38
161,13,18,12,0,1,11
162,1,0,0,0,0,0
163,64,119,59,0,4,131
164,2,1,0,0,0,3
165,1,0,1,0,0,0
166,66,136,51,1,2,154
167,0,0,0,0,0,0
168,1,0,0,0,0,0
169,58,70,33,3,2,134
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,1,0,0,0,0,0
173,8,16,3,0,0,17
174,1,1,0,0,0,0
175,33,90,37,5,0,148
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,12,19,8,2,1,57
179,10,36,12,1,0,72
180,20,60,24,3,1,138
181,0,0,0,0,0,0
182,3,15,3,1,0,33
183,15,44,7,0,1,53
184,0,0,0,0,0,0
185,30,114,23,2,2,113
186,0,0,0,0,0,0
187,2,5,3,0,0,5
188,1,0,0,0,0,0
189,0,0,0,0,0,0
190,2,5,1,0,0,10
191,3,3,2,2,0,2
192,30,55,33,1,4,61
193,7,26,3,1,0,17
194,18,54,14,1,2,74
195,0,8,0,1,0,8
196,15,21,2,0,0,20
197,9,24,9,1,1,25
198,17,15,5,2,0,10
199,29,129,31,0,0,183
200,25,42,16,0,0,40
201,0,0,0,0,0,0
202,2,10,3,2,1,3
203,0,0,0,0,0,2
204,0,0,0,0,0,0
205,3,0,1,0,0,0
206,10,27,7,1,0,42
207,0,1,0,0,0,1
208,0,0,0,0,0,0
209,0,1,0,0,0,0
210,41,47,17,0,1,48
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,0,0
214,0,2,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,1,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,3,8,4,0,0,3
223,0,0,0,0,0,0
224,14,29,15,0,0,43
225,5,19,3,3,0,21
226,0,0,1,0,0,0
227,6,27,7,0,1,21
228,0,1,0,0,0,0
229,1,1,0,0,0,2
230,93,295,110,12,0,472
231,13,32,10,3,2,44
232,8,21,6,0,1,17
233,3,0,0,0,0,0
234,0,0,0,0,0,0
