,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
156,Fuwwa,Kafr El-Shikh,,,,,,
157,Gamaliyya,Cairo,46.0,86.0,61.0,6.0,3.0,191.0
158,Gamaliyya,Dakahlia,,,,,,
159,Gamsa,Dakahlia,,5.0,6.0,,,38.0
160,Girga,Suhag,13.0,18.0,12.0,,1.0,11.0
161,Girga,Suhag,1.0,,,,,
162,Giza,Giza,64.0,119.0,59.0,,4.0,131.0
163,Giza,Giza,2.0,1.0,,,,3.0
164,Guhayna Al-Gharbiyya,Suhag,1.0,,1.0,,,
165,Hadaiq Al-Qubba,Cairo,66.0,136.0,51.0,1.0,2.0,154.0
166,Halayib,Red Sea,,,,,,
167,Hihya,Sharkia,1.0,,,,,
168,Hilwan,Cairo,58.0,70.0,33.0,3.0,2.0,134.0
169,Hurghada 1,Red Sea,,,,,,
170,Hurghada 2,Red Sea,,,,,,
171,Hush Isa,Behera,1.0,,,,,
172,Hwamdeia,Giza,8.0,16.0,3.0,,,17.0
173,Idku,Behera,1.0,1.0,,,,
174,Imbaba,Giza,33.0,90.0,37.0,5.0,,148.0
175,Imbaba,Giza,,,,,,
176,Ismailiyya,Ismailia,,,,,,
177,Ismailiyya 1,Ismailia,12.0,19.0,8.0,2.0,1.0,57.0
178,Ismailiyya 2,Ismailia,10.0,36.0,12.0,1.0,,72.0
179,Ismailiyya 3,Ismailia,20.0,60.0,24.0,3.0,1.0,138.0
180,Isna,Qena,,,,,,
181,Itay Al-Barud,Behera,3.0,15.0,3.0,1.0,,33.0
182,Kafr Al-Dawwar,Behera,15.0,44.0,7.0,,1.0,53.0
183,Kafr Al-Dawwar,Behera,,,,,,
184,Kafr Al-Shaykh,Kafr El-Shikh,30.0,114.0,23.0,2.0,2.0,113.0
185,Kafr Al-Shaykh,Kafr El-Shikh,,,,,,
186,Kafr Al-Zayyat,Gharbia,2.0,5.0,3.0,,,5.0
187,Kafr Sad,Damietta,1.0,,,,,
188,Kafr Saqr,Sharkia,,,,,,
189,Kafr Shukr,Kalyoubia,2.0,5.0,1.0,,,10.0
190,Kardasa,Giza,3.0,3.0,2.0,2.0,,2.0
191,Karmuz,Alexandria,30.0,55.0,33.0,1.0,4.0,61.0
192,Kawther,Suhag,7.0,26.0,3.0,1.0,,17.0
193,Kesm Al-minya,Menia,18.0,54.0,14.0,1.0,2.0,74.0
194,Kesm Awal Assuit,Assiut,,8.0,,1.0,,8.0
195,Kesm Mallawi,Menia,15.0,21.0,2.0,,,20.0
196,Kesm Tahta,Suhag,9.0,24.0,9.0,1.0,1.0,25.0
197,Kesm than Al Raml,Alexandria,17.0,15.0,5.0,2.0,,10.0
198,Kesm Than Assuit,Assiut,29.0,129.0,31.0,,,183.0
199,Khsos,Kalyoubia,25.0,42.0,16.0,,,40.0
200,Kum Hamada,Behera,,,,,,
201,Kum Umbu,Aswan,2.0,10.0,3.0,2.0,1.0,3.0
202,Luxor,Luxor,,,,,,2.0
203,Luxor,Luxor,,,,,,
204,Maadi,Cairo,3.0,,1.0,,,
205,Madinat Nasr-2,Cairo,10.0,27.0,7.0,1.0,,42.0
206,Mahalet Demna,Dakahlia,,1.0,,,,1.0
207,Manfalut,Assiut,,,,,,
208,Manzala,Dakahlia,,1.0,,,,
209,Marg,Cairo,41.0,47.0,17.0,,1.0,48.0
210,Markz Abu Qurqas,Menia,,,,,,
211,Markz Al Idwa,Menia,,,,,,
212,Markz Al Minya,Menia,,,,,,
213,Markz Bani Mazar,Menia,,2.0,,,,
214,Markz Dir Mawas,Menia,,,,,,
215,Markz Maghagha,Menia,,,,,,
