,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
167,Hihya,Sharkia,1,0,0,0,0,0
168,Hilwan,Cairo,58,70,33,3,2,134
169,Hurghada 1,Red Sea,0,0,0,0,0,0
170,Hurghada 2,Red Sea,0,0,0,0,0,0
171,Hush Isa,Behera,1,0,0,0,0,0
172,Hwamdeia,Giza,8,16,3,0,0,17
173,Idku,Behera,1,1,0,0,0,0
174,Imbaba,Giza,33,90,37,5,0,148
175,Imbaba,Giza,0,0,0,0,0,0
176,Ismailiyya,Ismailia,0,0,0,0,0,0
177,Ismailiyya 1,Ismailia,12,19,8,2,1,57
178,Ismailiyya 2,Ismailia,10,36,12,1,0,72
179,Ismailiyya 3,Ismailia,20,60,24,3,1,138
180,Isna,Qena,0,0,0,0,0,0
181,Itay Al-Barud,Behera,3,15,3,1,0,33
182,Kafr Al-Dawwar,Behera,15,44,7,0,1,53
183,Kafr Al-Dawwar,Behera,0,0,0,0,0,0
184,Kafr Al-Shaykh,Kafr El-Shikh,30,114,23,2,2,113
185,Kafr Al-Shaykh,Kafr El-Shikh,0,0,0,0,0,0
186,Kafr Al-Zayyat,Gharbia,2,5,3,0,0,5
187,Kafr Sad,Damietta,1,0,0,0,0,0
188,Kafr Saqr,Sharkia,0,0,0,0,0,0
189,Kafr Shukr,Kalyoubia,2,5,1,0,0,10
190,Kardasa,Giza,3,3,2,2,0,2
191,Karmuz,Alexandria,30,55,33,1,4,61
192,Kawther,Suhag,7,26,3,1,0,17
193,Kesm Al-minya,Menia,18,54,14,1,2,74
194,Kesm Awal Assuit,Assiut,0,8,0,1,0,8
195,Kesm Mallawi,Menia,15,21,2,0,0,20
196,Kesm Tahta,Suhag,9,24,9,1,1,25
197,Kesm than Al Raml,Alexandria,17,15,5,2,0,10
198,Kesm Than Assuit,Assiut,29,129,31,0,0,183
199,Khsos,Kalyoubia,25,42,16,0,0,40
200,Kum Hamada,Behera,0,0,0,0,0,0
201,Kum Umbu,Aswan,2,10,3,2,1,3
202,Luxor,Luxor,0,0,0,0,0,2
203,Luxor,Luxor,0,0,0,0,0,0
204,Maadi,Cairo,3,0,1,0,0,0
205,Madinat Nasr-2,Cairo,10,27,7,1,0,42
206,Mahalet Demna,Dakahlia,0,1,0,0,0,1
207,Manfalut,Assiut,0,0,0,0,0,0
208,Manzala,Dakahlia,0,1,0,0,0,0
209,Marg,Cairo,41,47,17,0,1,48
210,Markz Abu Qurqas,Menia,0,0,0,0,0,0
211,Markz Al Idwa,Menia,0,0,0,0,0,0
212,Markz Al Minya,Menia,0,0,0,0,0,0
213,Markz Bani Mazar,Menia,0,2,0,0,0,0
214,Markz Dir Mawas,Menia,0,0,0,0,0,0
215,Markz Maghagha,Menia,0,0,0,0,0,0
216,Markz Mallawi,Menia,1,0,0,0,0,0
217,Markz Matay,Menia,0,0,0,0,0,0
218,Markz Samalut,Menia,0,0,0,0,0,0
219,Marsa Alam,Red Sea,0,0,0,0,0,0
220,Marsa Matruh,Matrouh,0,0,0,0,0,0
221,Mashtul Al-Suq,Sharkia,3,8,4,0,0,3
222,Matariyya,Dakahlia,0,0,0,0,0,0
223,Mina Al-Basal,Alexandria,14,29,15,0,0,43
224,Minshat Nasir,Cairo,5,19,3,3,0,21
225,Minuf,Menoufia,0,0,1,0,0,0
226,Minuf City,Menoufia,6,27,7,0,1,21
227,Minya Al-Nasr,Dakahlia,0,1,0,0,0,0
228,Minya al-Qamh,Sharkia,1,1,0,0,0,2
229,Misr al-Gadida,Cairo,93,295,110,12,0,472
230,Misr Al-Qadima,Cairo,13,32,10,3,2,44
231,Mit Ghamr,Dakahlia,8,21,6,0,1,17
232,Mit Ghamr,Dakahlia,3,0,0,0,0,0
233,MIt Salsil,Dakahlia,0,0,0,0,0,0
234,Mitubas,Kafr El-Shikh,0,0,0,0,0,0
235,Mubark-Sharq Tafrea,Port Said,0,0,0,0,0,0
236,Muharam Bik,Alexandria,17,26,8,2,0,41
237,Muntazah,Alexandria,28,36,9,4,0,18
238,Muski,Cairo,78,220,98,9,7,507
239,Nag Hammadi,Qena,0,1,0,0,0,0
240,Nakhl,North Sinai,0,0,0,0,0,0
241,Naqada,Qena,1,2,0,0,0,1
242,Nasir,Beni Suef,0,0,1,0,0,0
