name_en,name_ar,pm10,pm2_5,us_aqi,us_pm2_5,us_pm10,us_no2,green_coverage_pct,gov_en,gov_ar
Al Dikhila,قسم الدخيلة,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,3.73,Alexandria,الاسكندرية
Kafr Al-Shaykh,قسم كفر الشيخ,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,3.73,Kafr El-Shikh,كفر الشيخ
Al Farafra Oasis,مركز الفرافرة,103.24149,26.223797,84.69658,82.52785,74.05767,0.04637415,0.0,New Valley,الوادى الجديد
Al Fashn,مركز الفشن,400.2899,59.287292,285.402,143.76349,285.3272,3.1696055,7.82,Beni Suef,بنى سويف
Al Gumruk,قسم الجمرك,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.26,Alexandria,الاسكندرية
Al Hamul,مركز الحامول,21.85262,15.881745,68.2863,62.949715,19.85419,4.5691867,0.73,Kafr El-Shikh,كفر الشيخ
Al Khalifa,قسم الخليفة,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,3.47,Cairo,القاهرة
Al Khanka,مركز الخانكة,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,38.94,Kalyoubia,القليوبية
Al Attarin,قسم العطارين,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.89,Alexandria,الاسكندرية
Al Manshiyya,قسم المنشية,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.89,Alexandria,الاسكندرية
Al Matariyya,قسم المطرية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.0,Cairo,القاهرة
Al-Manasra,قسم المناصرة,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.87,Port Said,بورسعيد
Al Raml,قسم أول الرمل,32.139606,18.384966,71.9331,67.71342,29.220844,3.0809824,0.87,Alexandria,الاسكندرية
Al Sahil,قسم الساحل,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.53,Cairo,القاهرة
Al Salam,قسم السلام,27.755068,17.048239,81.37625,65.17997,24.981361,5.979388,0.55,Cairo,القاهرة
Al Sharabiyya,قسم الشرابية,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.04,Cairo,القاهرة
Al Tibbin,قسم التبين,97.85958,22.6753,87.67268,75.88198,71.214165,5.34003,0.28,Cairo,القاهرة
Al Usayrat,مركز العسيرات,788.5618,135.71284,686.1571,213.90663,686.1571,2.6104922,14.0,Suhag,سوهاج
Al Waqf,مركز الوقف,415.76215,83.286514,302.6259,166.81374,302.49094,2.467075,20.13,Qena,قنا
Al Wasta,مركز الواسطى,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264,8.86,Beni Suef,بنى سويف
Al Wayli,قسم الوايلي,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.49,Cairo,القاهرة
Shubra,قسم شبرا,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,1.49,Cairo,القاهرة
Al-Ganayin,قسم الجناين,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.32,Suez,السويس
Al Zahir,قسم الظاهر,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,0.32,Cairo,القاهرة
Al Zaytun,قسم الزيتون,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,7.63,Cairo,القاهرة
Alamn,قسم مارينا العلمين السياحية,93.853485,21.775042,77.974686,74.42532,68.91545,0.27909118,0.0,Matrouh,مطروح
Alfath,مركز الفتح,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,11.19,Assiut,أسيوط
Armant,مركز أرمنت,318.87134,67.604164,208.32689,151.16095,207.45984,1.6301191,14.1,Qena,قنا
Ashmun,مركز أشمون,29.154982,17.027449,76.36465,65.142166,26.007027,5.184829,7.29,Menoufia,المنوفية
Assuit,مركز أسيوط,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,3.22,Assiut,أسيوط
Assuit City,مدينة اسيوط الجديدة,514.9212,93.78892,407.2867,175.45023,406.84036,3.3145037,2.21,Assiut,أسيوط
Aswan,قسم أسوان,232.99884,50.888355,144.51105,129.65996,142.2496,0.787472,0.54,Aswan,أسوان
Aswan,مركز أسوان,232.99884,50.888355,144.51105,129.65996,142.2496,0.787472,1.41,Aswan,أسوان
Aswan City,مدينة أسوان الجديدة,232.99884,50.888355,144.51105,129.65996,142.2496,0.787472,0.0,Aswan,أسوان
Ataqa,قسم عتاقة,24.42208,13.68445,75.7206,58.353367,22.115,1.6041605,0.01,Suez,السويس
Atfeh,مركز أطفيح,377.5529,42.207863,259.0734,116.56105,258.9129,4.716264,48.28,Giza,الجيزة
Atsa,مركز أطسا,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,3.82,Fayoum,الفيوم
Fayyum City,مدينة الفيوم الجديدة,206.60773,34.499958,127.012054,99.55872,125.70951,4.157912,3.82,Fayoum,الفيوم
Auseem,مركز أوسيم,36.463833,19.930069,79.89168,70.67239,31.697279,9.088648,10.53,Giza,الجيزة
