id,lat,lon
227,30.462,30.931
228,31.154,31.707
229,30.507,31.369
230,30.091,31.327
231,30.006,31.242
232,30.713,31.276
233,30.708,31.338
234,31.233,31.792
235,31.383,30.47
236,31.067,32.43
237,31.184,29.939
238,31.264,30.03
239,30.05,31.252
240,26.085,32.297
241,29.909,34.024
242,25.89,32.711
243,29.187,31.078
244,24.373,32.932
245,30.032,31.369
246,31.129,31.297
247,30.024,31.55
248,30.074,31.582
249,29.978,31.456
250,28.11,30.788
251,30.935,29.475
252,30.861,29.281
253,30.425,29.897
254,29.314,34.312
255,30.115,31.389
256,22.737,30.412
257,31.466,31.778
258,31.254,32.301
259,31.18,29.876
260,31.236,32.33
261,31.17,32.318
262,29.882,32.619
263,30.293,31.215
264,30.18,31.216
265,30.207,31.214
266,30.214,31.135
267,30.742,32.245
268,30.603,32.55
269,30.464,34.301
270,30.043,31.235
271,25.998,32.827
272,31.085,30.817
273,26.165,32.712
274,26.163,32.578
275,26.173,32.761
276,30.611,31.742
277,25.857,32.789
278,25.957,33.951
279,30.971,30.97
280,30.56,31.163
281,31.087,34.227
282,31.51,31.83
283,28.506,32.377
284,29.599,33.317
285,31.379,30.375
286,31.321,30.92
287,30.075,31.238
288,30.957,32.699
289,30.358,30.661
290,29.62,31.305
291,26.732,33.46
292,27.093,31.349
293,30.646,25.255
294,30.95,31.221
295,28.66,34.052
296,30.773,31.119
297,26.692,31.663
298,30.03,31.242
299,23.079,34.574
300,28.08,34.203
301,30.049,30.978
302,30.918,33.971
303,30.556,31.0
304,30.561,30.954
305,30.296,31.307
306,31.261,31.576
307,30.133,31.547
308,30.072,31.25
309,30.132,31.248
310,30.135,31.285
311,31.003,30.679
312,26.943,31.38
313,30.656,25.886
314,31.216,29.949
315,31.31,30.738
316,30.883,31.513
317,29.441,30.815
318,30.445,30.969
319,28.703,25.589
320,29.961,32.569
321,26.547,31.693
322,26.547,31.655
323,26.543,31.703
324,26.485,31.649
325,28.951,30.866
326,29.501,34.84
327,26.785,31.42
328,30.418,31.933
329,30.67,30.946
330,31.109,31.383
331,26.874,31.422
332,30.947,31.594
333,29.467,30.982
334,30.809,30.932
335,30.795,31.014
336,30.786,30.989
337,25.738,32.703
338,30.344,31.19
339,29.939,31.38
340,22.856,31.661
341,29.993,31.177
342,30.43,30.313
343,30.097,31.189
344,29.353,30.586
345,30.056,31.223
346,30.587,31.581
347,30.585,31.513
348,30.601,31.519
349,31.209,31.649
350,30.098,31.27
351,29.972,31.799
352,30.537,29.721
353,30.327,31.719
354,30.24,31.514
355,30.26,30.306
356,28.935,29.392
357,28.723,31.341
358,29.347,30.344
359,28.16,31.623
360,23.594,32.263
361,25.634,32.716
362,27.358,31.799
363,26.727,32.193
364,25.966,33.191
365,30.728,31.215
