district_id,district_en,district_ar,governorate_en,governorate_ar,district_lat,district_lon
fuwwa-eg1508,Fuwwa,مركز فوه,Kafr El-Shikh,كفر الشيخ,31.232,30.564
abshaway-eg2303,Abshaway,مركز أبشواى,Fayoum,الفيوم,29.374,30.69
dishna-eg2706,Dishna,مركز دشنا,Qena,قنا,26.142,32.444
badrashain-eg2110,Badrashain,مركز البدرشين,Giza,الجيزة,29.824,31.258
ashmun-eg1703,Ashmun,مركز أشمون,Menoufia,المنوفية,30.299,31.008
kardasa-eg2120,Kardasa,مركز كرداسة,Giza,الجيزة,30.051,31.134
riyad-eg1512,Riyad,مركز الرياض,Kafr El-Shikh,كفر الشيخ,31.321,30.92
al-dilingat-eg1805,Al-Dilingat,مركز الدلنجات,Behera,البحيرة,30.81,30.49
fayid-eg1907,Fayid,مركز فايد,Ismailia,الإسماعيلية,30.366,32.292
sant-katrin-eg3504,Sant Katrin,قسم سانت كاترين,South Sinai,جنوب سيناء,28.66,34.052
biba-eg2207,Biba,مركز ببا,Beni Suef,بنى سويف,28.951,30.967
rafah-eg3409,Rafah,قسم رفح,North Sinai,شمال سيناء,31.087,34.227
abu-tisht-eg2703,Abu Tisht,مركز أبو طشت,Qena,قنا,26.13,32.086
ismailiyya-eg1904,Ismailiyya,مركز الاسماعيلية,Ismailia,الإسماعيلية,30.426,32.183
burg-al-arab-eg0214,Burg al-Arab,قسم برج العرب,Alexandria,الاسكندرية,30.901,29.494
al-wasta-eg2205,Al Wasta,مركز الواسطى,Beni Suef,بنى سويف,29.324,31.17
samannud-eg1610,Samannud,مركز سمنود,Gharbia,الغربية,30.95,31.221
tamya-eg2306,Tamya,مركز طامية,Fayoum,الفيوم,29.467,30.982
minya-al-qamh-eg1314,Minya al-Qamh,مركز منيا القمح,Sharkia,الشرقية,30.507,31.369
al-maragha-eg2606,Al-Maragha,مركز المراغة,Suhag,سوهاج,26.669,31.588
dyarb-nigm-eg1310,Dyarb Nigm,مركز ديرب نجم,Sharkia,الشرقية,30.752,31.444
imbaba-eg2113,Imbaba,مركز إمبابة,Giza,الجيزة,30.22,30.963
abu-radis-eg3503,Abu Radis,قسم أبو رديس,South Sinai,جنوب سيناء,29.049,33.598
marsa-alam-eg3104,Marsa Alam,قسم مرسى علم,Red Sea,البحر الأحمر,24.707,34.286
muntazah-eg0201,Muntazah,قسم المنتزة,Alexandria,الاسكندرية,31.264,30.03
marsa-matruh-eg3301,Marsa Matruh,قسم مرسى مطروح,Matrouh,مطروح,30.022,26.997
birkat-al-sab-eg1706,Birkat Al-Sab,مركز بركة السبع,Menoufia,المنوفية,30.651,31.108
sadat-city-eg1711,Sadat City,مركز السادات,Menoufia,المنوفية,30.358,30.661
abu-kabir-eg1305,Abu Kabir,مركز أبوكبير,Sharkia,الشرقية,30.733,31.69
mitubas-eg1510,Mitubas,مركز مطوبس,Kafr El-Shikh,كفر الشيخ,31.383,30.47
muharam-bik-eg0205,Muharam Bik,قسم محرم بك,Alexandria,الاسكندرية,31.184,29.939
kesm-than-al-raml-eg0217,Kesm than Al Raml,قسم ثان الرمل,Alexandria,الاسكندرية,31.211,29.994
mit-ghamr-eg1213,Mit Ghamr,مركز ميت غمر,Dakahlia,الدقهلية,30.708,31.338
tukh-eg1408,Tukh,مركز طوخ,Kalyoubia,القليوبية,30.344,31.19
el-mahalla-el-kobra-2-eg1606,El Mahalla El Kobra 2,قسم ثان المحلة الكبرى,Gharbia,الغربية,30.971,31.157
nubariyya-west-eg1817,Nubariyya West,قسم غرب النوبارية,Behera,البحيرة,30.425,29.897
tanta-eg1603,Tanta,مركز طنطا,Gharbia,الغربية,30.809,30.932
ahnasya-eg2206,Ahnasya,مركز أهناسيا,Beni Suef,بنى سويف,29.102,30.943
suhag-eg2603,Suhag,مركز سوهاج,Suhag,سوهاج,26.547,31.655
adfu-eg2803,Adfu,مركز أدفو,Aswan,أسوان,25.061,32.957
rashid-eg1809,Rashid,مركز رشيد,Behera,البحيرة,31.379,30.375
markz-al-minya-eg2402,Markz Al Minya,مركز المنيا,Menia,المنيا,28.101,30.641
abu-simbel-eg2807,Abu Simbel,مركز أبوسنبل,Aswan,أسوان,22.624,32.599
al-sahil-eg0121,Al Sahil,قسم الساحل,Cairo,القاهرة,30.092,31.247
new-cairo-3-eg0139,New Cairo-3,قسم ثالث القاهرة الجديدة,Cairo,القاهرة,29.978,31.456
saf-eg2111,Saf,مركز الصف,Giza,الجيزة,29.62,31.305
a-dakhla-oasis-eg3202,A-Dakhla Oasis,مركز الوحات الداخلة,New Valley,الوادى الجديد,24.803,27.209
kafr-shukr-eg1411,Kafr Shukr,مركز كفر شكر,Kalyoubia,القليوبية,30.554,31.275
faqus-eg1312,Faqus,مركز فاقوس,Sharkia,الشرقية,30.749,31.896
nasir-eg2209,Nasir,مركز ناصر,Beni Suef,بنى سويف,29.187,31.078
shibin-al-kum-eg1702,Shibin al-Kum,مركز شبين الكوم,Menoufia,المنوفية,30.561,30.954
isna-eg2705,Isna,مركز إسنا,Qena,قنا,25.365,32.52
al-khalifa-eg0108,Al Khalifa,قسم الخليفة,Cairo,القاهرة,30.01,31.296
kum-umbu-eg2804,Kum Umbu,مركز كوم امبو,Aswan,أسوان,24.48,32.947
new-cairo-2-eg0138,New Cairo-2,قسم ثان القاهرة الجديدة,Cairo,القاهرة,30.074,31.582
qantara-sharq-al-eg1908,"Qantara Sharq, al-",قسم القنطرة شرق,Ismailia,الإسماعيلية,30.603,32.55
al-hamul-eg1511,Al Hamul,مركز الحامول,Kafr El-Shikh,كفر الشيخ,31.388,31.075
sidfa-eg2511,Sidfa,مركز صدفا,Assiut,أسيوط,26.943,31.38
mit-salsil-eg1217,MIt Salsil,مركز ميت سلسيل,Dakahlia,الدقهلية,31.233,31.792
ataqa-eg0403,Ataqa,قسم عتاقة,Suez,السويس,29.539,32.128
al-usayrat-eg2617,Al Usayrat,مركز العسيرات,Suhag,سوهاج,26.401,31.815
shibin-al-qanatir-eg1405,Shibin al-Qanatir,مركز شبين القناطر,Kalyoubia,القليوبية,30.296,31.307
hihya-eg1315,Hihya,مركز ههيا,Sharkia,الشرقية,30.652,31.617
hurghada-2-eg3108,Hurghada 2,قسم ثان الغردقة,Red Sea,البحر الأحمر,27.745,33.08
kesm-al-minya-eg2401,Kesm Al-minya,قسم المنيا,Menia,المنيا,28.095,30.744
al-husayniya-eg1306,Al-Husayniya,مركز الحسينية,Sharkia,الشرقية,30.924,32.006
