,name_en,gov_en,school_count,hospital_count,supermarket_count,park_count,metro_station_count,cafe_restaurant_count
222,A-Dakhla Oasis,New Valley,0,0,0,0,0,0
223,Abu Radis,South Sinai,0,0,0,0,0,0
224,Abu-l-Matamir,Behera,0,0,0,0,0,0
225,Marsa Matruh,Matrouh,0,0,0,0,0,0
226,Marsa Alam,Red Sea,0,0,0,0,0,0
227,Markz Samalut,Menia,0,0,0,0,0,0
228,Markz Matay,Menia,0,0,0,0,0,0
229,Markz Maghagha,Menia,0,0,0,0,0,0
230,Markz Dir Mawas,Menia,0,0,0,0,0,0
231,Markz Al Idwa,Menia,0,0,0,0,0,0
232,Markz Al Minya,Menia,0,0,0,0,0,0
233,Al Waqf,Qena,0,0,0,0,0,0
234,Al Wasta,Beni Suef,0,0,0,0,0,0
235,Markz Abu Qurqas,Menia,0,0,0,0,0,0
236,Alamn,Matrouh,0,0,0,0,0,0
237,Kum Hamada,Behera,0,0,0,0,0,0
238,Manfalut,Assiut,0,0,0,0,0,0
239,Al Tibbin,Cairo,0,0,0,0,0,0
240,Ataqa,Suez,0,0,0,0,0,0
241,Aswan City,Aswan,0,0,0,0,0,0
242,Atsa,Fayoum,0,0,0,0,0,0
243,Awlad Saqr,Sharkia,0,0,0,0,0,0
244,Bani Swayf City,Beni Suef,0,0,0,0,0,0
245,Basyun,Gharbia,0,0,0,0,0,0
246,Biba,Beni Suef,0,0,0,0,0,0
247,Bilbis,Sharkia,0,0,0,0,0,0
248,Hurghada 2,Red Sea,0,0,0,0,0,0
249,Isna,Qena,0,0,0,0,0,0
250,Ismailiyya,Ismailia,0,0,0,0,0,0
251,Kafr Saqr,Sharkia,0,0,0,0,0,0
252,Alfath,Assiut,0,0,0,0,0,0
253,Bir Al-Abd,North Sinai,0,0,0,0,0,0
254,Halayib,Red Sea,0,0,0,0,0,0
255,Hurghada 1,Red Sea,0,0,0,0,0,0
256,Wadi Al-NatrUn,Behera,0,0,0,0,0,0
257,Yousef El sadeq,Fayoum,0,0,0,0,0,0
258,Tiba police station,Luxor,0,0,0,0,0,0
259,Tura,Cairo,0,0,0,0,0,0
260,Tushaka,Aswan,0,0,0,0,0,0
261,Daraw,Aswan,0,0,0,0,0,0
262,Dayrut,Assiut,0,0,0,0,0,0
263,Burg al-Arab,Alexandria,0,0,0,0,0,0
264,Daba,Matrouh,0,0,0,0,0,0
265,Dahab,South Sinai,0,0,0,0,0,0
266,Burullus,Kafr El-Shikh,0,0,0,0,0,0
267,Burg Al-Arab City,Alexandria,0,0,0,0,0,0
268,El Arish 2,North Sinai,0,0,0,0,0,0
269,Dumyat,Damietta,0,0,0,0,0,0
270,Mitubas,Kafr El-Shikh,0,0,0,0,0,0
271,Nubariyya West,Behera,0,0,0,0,0,0
272,Nuweiba,South Sinai,0,0,0,0,0,0
273,Mubark-Sharq Tafrea,Port Said,0,0,0,0,0,0
274,Al Hamul,Kafr El-Shikh,0,0,0,0,0,0
275,Al-Qusia,Assiut,0,0,0,0,0,0
276,Al-Tur,South Sinai,0,0,0,0,0,0
277,Al-Shuhada,Menoufia,0,0,0,0,0,0
278,Al-Salhiyya,Sharkia,0,0,0,0,0,0
279,Nasr,Aswan,0,0,0,0,0,0
280,Nakhl,North Sinai,0,0,0,0,0,0
281,MIt Salsil,Dakahlia,0,0,0,0,0,0
282,Al Farafra Oasis,New Valley,0,0,0,0,0,0
283,Matariyya,Dakahlia,0,0,0,0,0,0
284,Sant Katrin,South Sinai,0,0,0,0,0,0
285,Salloum,Matrouh,0,0,0,0,0,0
286,Sahil Silim,Assiut,0,0,0,0,0,0
287,Safaga,Red Sea,0,0,0,0,0,0
288,Sadat City,Menoufia,0,0,0,0,0,0
289,Saf,Giza,0,0,0,0,0,0
290,Rummana,North Sinai,0,0,0,0,0,0
291,Riyad,Kafr El-Shikh,0,0,0,0,0,0
292,Rafah,North Sinai,0,0,0,0,0,0
293,Rashid,Behera,0,0,0,0,0,0
294,Ras Sidr,South Sinai,0,0,0,0,0,0
295,Ras Gharib,Red Sea,0,0,0,0,0,0
296,Qusir,Red Sea,0,0,0,0,0,0
297,Qasima,North Sinai,0,0,0,0,0,0
298,Qus,Qena,0,0,0,0,0,0
299,Paris Paris,New Valley,0,0,0,0,0,0
300,Port Suez Police Department,Suez,0,0,0,0,0,0
301,Port Fuad 2,Port Said,0,0,0,0,0,0
302,"Qantara Sharq, al-",Ismailia,0,0,0,0,0,0
303,Al-Rahmaniyya,Behera,0,0,0,0,0,0
304,Al-Kharga Oasis,New Valley,0,0,0,0,0,0
305,Al-Mahmudiyya,Behera,0,0,0,0,0,0
306,Santa,Gharbia,0,0,0,0,0,0
307,Al-Ganoub,Port Said,0,0,0,0,0,0
308,Al-Ganoub 2,Port Said,0,0,0,0,0,0
309,Shallatin,Red Sea,0,0,0,0,0,0
310,Saqulta,Suhag,0,0,0,0,0,0
311,Sharm el-Sheikh,South Sinai,0,0,0,0,0,0
312,Shaykh Zuwayd,North Sinai,0,0,0,0,0,0
313,Al-Dilingat,Behera,0,0,0,0,0,0
314,Al-Ganayin,Suez,0,0,0,0,0,0
315,Abu Tig,Assiut,0,0,0,0,0,0
316,Abu Simbel,Aswan,0,0,0,0,0,0
317,Siwa,Matrouh,0,0,0,0,0,0
318,Sinuras,Fayoum,0,0,0,0,0,0
319,Sinbillawin,Dakahlia,0,0,0,0,0,0
320,Sidi Barani,Matrouh,0,0,0,0,0,0
321,Sidfa,Assiut,0,0,0,0,0,0
322,Shirbin,Dakahlia,0,0,0,0,0,0
323,Al-Maragha,Suhag,0,0,0,0,0,0
324,Al-Manasra,Port Said,0,0,0,0,0,0
325,Al-Ghanayem,Assiut,0,0,0,0,0,0
326,Al-Hammam,Matrouh,0,0,0,0,0,0
327,Al-Hasna,North Sinai,0,0,0,0,0,0
328,Al-Husayniya,Sharkia,0,0,0,0,0,0
329,Akhmim City,Suhag,0,0,0,0,0,0
330,Adfu,Aswan,0,0,0,0,0,0
331,Tahta,Suhag,0,0,0,0,0,0
332,"Tal al-Kabir, al-",Ismailia,0,0,0,0,0,0
333,Suhag City,Suhag,0,0,0,0,0,0
334,Sumusta,Beni Suef,0,0,0,0,0,0
335,Tamya,Fayoum,0,0,0,0,0,0
336,Zemam Out,Behera,0,0,0,0,0,0
337,Zemam Out,Giza,0,0,0,0,0,0
338,Zemam Out,Beni Suef,0,0,0,0,0,0
339,Zemam Out,Fayoum,0,0,0,0,0,0
340,Zemam Out,Menia,0,0,0,0,0,0
341,Zemam Out,Aswan,0,0,0,0,0,0
342,Zemam Out,Luxor,0,0,0,0,0,0
343,Zemam Out,Assiut,0,0,0,0,0,0
344,Zemam Out,Suhag,0,0,0,0,0,0
345,Zemam Out,Qena,0,0,0,0,0,0
346,Zifta,Gharbia,0,0,0,0,0,0
